Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate.x	Heterozygosity.x	conScore.x	GenotypeRate.y	Heterozygosity.y	conScore.y
142	CAT_52508_115_S71_L001_R1_001	121138	27769	87818	5551	0.23	0.72	0.05	0.424	0.072	0	0.424	0.072	0
143	CAT_52508_117_S168_L001_R1_001	48892	2473	44933	1486	0.05	0.92	0.03	0.042	0.006	0.333	0.042	0.006	0.333
144	CAT_52508_117_S72_L001_R1_001	140676	31052	108388	1236	0.22	0.77	0.01	0.128	0.018	0.111	0.128	0.018	0.111
145	CAT_52508_119_S169_L001_R1_001	94943	4820	78052	12071	0.05	0.82	0.13	0.358	0.06	0.033	0.358	0.06	0.033
146	CAT_52508_119_S73_L001_R1_001	142573	27081	99672	15820	0.19	0.7	0.11	0.72	0.116	0.017	0.72	0.116	0.017
147	CAT_52508_127_S170_L001_R1_001	71733	2887	46241	22605	0.04	0.64	0.32	0.48	0.082	0.073	0.48	0.082	0.073
148	CAT_52508_127_S74_L001_R1_001	477017	39979	85153	351885	0.08	0.18	0.74	0.852	0.122	0.328	0.852	0.122	0.328
149	CAT_52508_129_S171_L001_R1_001	66906	3393	57216	6297	0.05	0.86	0.09	0.206	0.032	0.062	0.206	0.032	0.062
150	CAT_52508_129_S75_L001_R1_001	156461	37221	111479	7761	0.24	0.71	0.05	0.512	0.088	0.045	0.512	0.088	0.045
151	CAT_52508_131_S172_L001_R1_001	87663	4873	70761	12029	0.06	0.81	0.14	0.356	0.06	0.133	0.356	0.06	0.133
152	CAT_52508_131_S76_L001_R1_001	151535	28284	113378	9873	0.19	0.75	0.07	0.57	0.088	0.068	0.57	0.088	0.068
153	CAT_52508_134_S173_L001_R1_001	81752	4363	70376	7013	0.05	0.86	0.09	0.234	0.03	0	0.234	0.03	0
154	CAT_52508_134_S77_L001_R1_001	104323	22928	76810	4585	0.22	0.74	0.04	0.346	0.05	0	0.346	0.05	0
155	CAT_52508_135_S174_L001_R1_001	61144	3088	56252	1804	0.05	0.92	0.03	0.048	0.006	0.333	0.048	0.006	0.333
156	CAT_52508_135_S78_L001_R1_001	87664	22216	64436	1012	0.25	0.74	0.01	0.064	0.014	0.143	0.064	0.014	0.143
157	CAT_52508_139_S175_L001_R1_001	71787	3761	60099	7927	0.05	0.84	0.11	0.304	0.042	0.095	0.304	0.042	0.095
158	CAT_52508_139_S79_L001_R1_001	126663	28355	89031	9277	0.22	0.7	0.07	0.648	0.096	0	0.648	0.096	0
159	CAT_52508_143_S176_L001_R1_001	61360	3002	48984	9374	0.05	0.8	0.15	0.356	0.056	0.179	0.356	0.056	0.179
160	CAT_52508_143_S80_L001_R1_001	107479	19200	79495	8784	0.18	0.74	0.08	0.538	0.09	0.089	0.538	0.09	0.089
161	CAT_52508_145_S177_L001_R1_001	309673	16121	209132	84420	0.05	0.68	0.27	0.704	0.116	0.224	0.704	0.116	0.224
162	CAT_52508_145_S81_L001_R1_001	132418	8889	89322	34207	0.07	0.67	0.26	0.604	0.1	0.2	0.604	0.1	0.2
163	CAT_52508_149_S178_L001_R1_001	29552	1303	19591	8658	0.04	0.66	0.29	0.376	0.06	0.067	0.376	0.06	0.067
164	CAT_52508_149_S82_L001_R1_001	194372	31110	60217	103045	0.16	0.31	0.53	0.83	0.132	0.227	0.83	0.132	0.227
165	CAT_52508_156_S179_L001_R1_001	110956	6038	84202	20716	0.05	0.76	0.19	0.46	0.082	0.171	0.46	0.082	0.171
166	CAT_52508_156_S83_L001_R1_001	165835	33435	104294	28106	0.2	0.63	0.17	0.79	0.136	0.088	0.79	0.136	0.088
167	CAT_52508_157_S180_L001_R1_001	323861	16053	250356	57452	0.05	0.77	0.18	0.476	0.06	0.3	0.476	0.06	0.3
168	CAT_52508_157_S84_L001_R1_001	296726	32289	196096	68341	0.11	0.66	0.23	0.784	0.12	0.15	0.784	0.12	0.15
169	CAT_52508_158_S181_L001_R1_001	120491	6224	102684	11583	0.05	0.85	0.1	0.25	0.04	0.15	0.25	0.04	0.15
170	CAT_52508_158_S85_L001_R1_001	141338	31298	102077	7963	0.22	0.72	0.06	0.456	0.054	0.111	0.456	0.054	0.111
171	CAT_52508_167_S182_L001_R1_001	96444	4476	87217	4751	0.05	0.9	0.05	0.026	0.002	0	0.026	0.002	0
172	CAT_52508_167_S86_L001_R1_001	135183	29739	103500	1944	0.22	0.77	0.01	0.024	0	NA	0.024	0	NA
173	CAT_52508_168_S183_L001_R1_001	81029	4038	74669	2322	0.05	0.92	0.03	0.056	0.01	0.2	0.056	0.01	0.2
174	CAT_52508_168_S87_L001_R1_001	98183	22436	74163	1584	0.23	0.76	0.02	0.136	0.028	0.071	0.136	0.028	0.071
175	CAT_52508_173_S184_L001_R1_001	107641	6271	101337	33	0.06	0.94	0	0.002	0.002	0	0.002	0.002	0
176	CAT_52508_173_S88_L001_R1_001	119240	23222	87347	8671	0.19	0.73	0.07	0.654	0.098	0	0.654	0.098	0
177	CAT_52508_174_S185_L001_R1_001	82469	3860	59128	19481	0.05	0.72	0.24	0.436	0.058	0.31	0.436	0.058	0.31
178	CAT_52508_174_S89_L001_R1_001	275212	39338	110559	125315	0.14	0.4	0.46	0.886	0.122	0.328	0.886	0.122	0.328
179	CAT_52508_176_S186_L001_R1_001	67505	3502	51804	12199	0.05	0.77	0.18	0.39	0.05	0.24	0.39	0.05	0.24
180	CAT_52508_176_S90_L001_R1_001	83349	18418	53473	11458	0.22	0.64	0.14	0.65	0.086	0.093	0.65	0.086	0.093
181	CAT_52508_179_S187_L001_R1_001	100475	5153	87493	7829	0.05	0.87	0.08	0.242	0.038	0.053	0.242	0.038	0.053
182	CAT_52508_179_S91_L001_R1_001	109797	24351	80321	5125	0.22	0.73	0.05	0.414	0.058	0.034	0.414	0.058	0.034
183	CAT_52508_182_S188_L001_R1_001	204747	10618	179478	14651	0.05	0.88	0.07	0.232	0.046	0.13	0.232	0.046	0.13
184	CAT_52508_182_S92_L001_R1_001	145959	24296	114634	7029	0.17	0.79	0.05	0.296	0.056	0.107	0.296	0.056	0.107
185	CAT_52508_183_S189_L001_R1_001	76868	4067	59335	13466	0.05	0.77	0.18	0.38	0.062	0.097	0.38	0.062	0.097
186	CAT_52508_183_S93_L001_R1_001	99326	21840	65239	12247	0.22	0.66	0.12	0.65	0.098	0.082	0.65	0.098	0.082
187	CAT_52508_189_S190_L001_R1_001	125267	6849	95954	22464	0.05	0.77	0.18	0.464	0.066	0.091	0.464	0.066	0.091
188	CAT_52508_189_S94_L001_R1_001	109191	17783	77639	13769	0.16	0.71	0.13	0.584	0.084	0.024	0.584	0.084	0.024
189	CAT_52508_201_S191_L001_R1_001	158214	8250	144229	5735	0.05	0.91	0.04	0.106	0.018	0.444	0.106	0.018	0.444
190	CAT_52508_201_S95_L001_R1_001	129386	24252	102335	2799	0.19	0.79	0.02	0.15	0.024	0.25	0.15	0.024	0.25
