Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
CAT_52508_139_S175_L001_R1_001	 71787	 3761	 60099	 7927	0.05	0.84	0.11	0.304	0.042	0.095
CAT_52508_139_S79_L001_R1_001	126663	28355	 89031	 9277	0.22	0.70	0.07	0.648	0.096	0.000
CAT_52508_143_S176_L001_R1_001	 61360	 3002	 48984	 9374	0.05	0.80	0.15	0.356	0.056	0.179
CAT_52508_143_S80_L001_R1_001	107479	19200	 79495	 8784	0.18	0.74	0.08	0.538	0.090	0.089
CAT_52508_145_S177_L001_R1_001	309673	16121	209132	84420	0.05	0.68	0.27	0.704	0.116	0.224
CAT_52508_145_S81_L001_R1_001	132418	 8889	 89322	34207	0.07	0.67	0.26	0.604	0.100	0.200
CAT_52508_149_S178_L001_R1_001	 29552	 1303	 19591	 8658	0.04	0.66	0.29	0.376	0.060	0.067
CAT_52508_156_S179_L001_R1_001	110956	 6038	 84202	20716	0.05	0.76	0.19	0.460	0.082	0.171
CAT_52508_157_S180_L001_R1_001	323861	16053	250356	57452	0.05	0.77	0.18	0.476	0.060	0.300
CAT_52508_158_S181_L001_R1_001	120491	 6224	102684	11583	0.05	0.85	0.10	0.250	0.040	0.150
CAT_52508_158_S85_L001_R1_001	141338	31298	102077	 7963	0.22	0.72	0.06	0.456	0.054	0.111
CAT_52508_167_S182_L001_R1_001	 96444	 4476	 87217	 4751	0.05	0.90	0.05	0.026	0.002	0.000
CAT_52508_167_S86_L001_R1_001	135183	29739	103500	 1944	0.22	0.77	0.01	0.024	0.000	  NaN
CAT_52508_168_S183_L001_R1_001	 81029	 4038	 74669	 2322	0.05	0.92	0.03	0.056	0.010	0.200
CAT_52508_168_S87_L001_R1_001	 98183	22436	 74163	 1584	0.23	0.76	0.02	0.136	0.028	0.071
CAT_52508_173_S184_L001_R1_001	107641	 6271	101337	   33	0.06	0.94	0.00	0.002	0.002	0.000
CAT_52508_173_S88_L001_R1_001	119240	23222	 87347	 8671	0.19	0.73	0.07	0.654	0.098	0.000
CAT_52508_174_S185_L001_R1_001	 82469	 3860	 59128	19481	0.05	0.72	0.24	0.436	0.058	0.310
CAT_52508_176_S186_L001_R1_001	 67505	 3502	 51804	12199	0.05	0.77	0.18	0.390	0.050	0.240
CAT_52508_176_S90_L001_R1_001	 83349	18418	 53473	11458	0.22	0.64	0.14	0.650	0.086	0.093
CAT_52508_179_S187_L001_R1_001	100475	 5153	 87493	 7829	0.05	0.87	0.08	0.242	0.038	0.053
CAT_52508_179_S91_L001_R1_001	109797	24351	 80321	 5125	0.22	0.73	0.05	0.414	0.058	0.034
CAT_52508_182_S188_L001_R1_001	204747	10618	179478	14651	0.05	0.88	0.07	0.232	0.046	0.130
CAT_52508_182_S92_L001_R1_001	145959	24296	114634	 7029	0.17	0.79	0.05	0.296	0.056	0.107
CAT_52508_183_S189_L001_R1_001	 76868	 4067	 59335	13466	0.05	0.77	0.18	0.380	0.062	0.097
CAT_52508_183_S93_L001_R1_001	 99326	21840	 65239	12247	0.22	0.66	0.12	0.650	0.098	0.082
CAT_52508_189_S190_L001_R1_001	125267	 6849	 95954	22464	0.05	0.77	0.18	0.464	0.066	0.091
CAT_52508_189_S94_L001_R1_001	109191	17783	 77639	13769	0.16	0.71	0.13	0.584	0.084	0.024
CAT_52508_201_S191_L001_R1_001	158214	 8250	144229	 5735	0.05	0.91	0.04	0.106	0.018	0.444
CAT_52508_201_S95_L001_R1_001	129386	24252	102335	 2799	0.19	0.79	0.02	0.150	0.024	0.250
